FARM,DATA,TYPE,YearClass,Gen,Mes,value,Year,Month,last,id
Anglet_P,biomass end of month,biomass,TOTAL,TOTAL,a_Sep-2024,167785.2982016016,2024,9,False,Anglet_PTOTAL2024a_Sep-2024
Anglet_P,biomass end of month,biomass,a.0 - 100,a.0 - 100,a_Sep-2024,8172.110526500397,2024,9,False,Anglet_Pa.0 - 1002024a_Sep-2024
Anglet_P,biomass end of month,biomass,b.100 - 200,b.100 - 200,a_Sep-2024,13781.941882391562,2024,9,False,Anglet_Pb.100 - 2002024a_Sep-2024
Anglet_P,biomass end of month,biomass,c.200 - 300,c.200 - 300,a_Sep-2024,19475.387585282646,2024,9,False,Anglet_Pc.200 - 3002024a_Sep-2024
Anglet_P,biomass end of month,biomass,d.300 - 400,d.300 - 400,a_Sep-2024,31138.91678334419,2024,9,False,Anglet_Pd.300 - 4002024a_Sep-2024
Anglet_P,biomass end of month,biomass,e.400 - 500,e.400 - 500,a_Sep-2024,22271.475801874076,2024,9,False,Anglet_Pe.400 - 5002024a_Sep-2024
Anglet_P,biomass end of month,biomass,f.500 - 600,f.500 - 600,a_Sep-2024,69833.23215410233,2024,9,False,Anglet_Pf.500 - 6002024a_Sep-2024
Anglet_P,biomass end of month,biomass,g.600 - 800,g.600 - 800,a_Sep-2024,3112.2334681064103,2024,9,False,Anglet_Pg.600 - 8002024a_Sep-2024
Anglet_P,biomass end of month,biomass,h.800 - 10000,h.800 - 10000,a_Sep-2024,0.0,2024,9,False,Anglet_Ph.800 - 100002024a_Sep-2024
Anglet_P,culling,avweight,2023,23 1SG,a_Sep-2024,0.0,2024,9,False,Anglet_P23 1SG2024a_Sep-2024
Anglet_P,culling,avweight,2023,23 3SG,a_Sep-2024,0.0,2024,9,False,Anglet_P23 3SG2024a_Sep-2024
Anglet_P,culling,avweight,2023,23 4SG,a_Sep-2024,0.0,2024,9,False,Anglet_P23 4SG2024a_Sep-2024
Anglet_P,culling,avweight,2023,23 5SG,a_Sep-2024,0.0,2024,9,False,Anglet_P23 5SG2024a_Sep-2024
Anglet_P,culling,avweight,2023,23 6SG,a_Sep-2024,0.0,2024,9,False,Anglet_P23 6SG2024a_Sep-2024
Anglet_P,culling,avweight,2024,24 1SG,a_Sep-2024,0.0,2024,9,False,Anglet_P24 1SG2024a_Sep-2024
Anglet_P,culling,avweight,2024,24 2SG,a_Sep-2024,0.0,2024,9,False,Anglet_P24 2SG2024a_Sep-2024
Anglet_P,culling,avweight,2024,24 3SG,a_Sep-2024,0.0,2024,9,False,Anglet_P24 3SG2024a_Sep-2024
Anglet_P,culling,avweight,2024,24 4SG,a_Sep-2024,33.2977632159471,2024,9,False,Anglet_P24 4SG2024a_Sep-2024
Anglet_P,culling,avweight,2024,24 5SG,a_Sep-2024,0.0,2024,9,False,Anglet_P24 5SG2024a_Sep-2024
Anglet_P,culling,avweight,2024,24 6SG,a_Sep-2024,0.0,2024,9,False,Anglet_P24 6SG2024a_Sep-2024
Anglet_P,culling,avweight,2025,25 1SG,a_Sep-2024,0.0,2024,9,False,Anglet_P25 1SG2024a_Sep-2024
Anglet_P,culling,avweight,TOTAL,TOTAL,a_Sep-2024,33.2977632159471,2024,9,False,Anglet_PTOTAL2024a_Sep-2024
Anglet_P,culling,biomass,2023,23 1SG,a_Sep-2024,0.0,2024,9,False,Anglet_P23 1SG2024a_Sep-2024
Anglet_P,culling,biomass,2023,23 3SG,a_Sep-2024,0.0,2024,9,False,Anglet_P23 3SG2024a_Sep-2024
Anglet_P,culling,biomass,2023,23 4SG,a_Sep-2024,0.0,2024,9,False,Anglet_P23 4SG2024a_Sep-2024
Anglet_P,culling,biomass,2023,23 5SG,a_Sep-2024,0.0,2024,9,False,Anglet_P23 5SG2024a_Sep-2024
Anglet_P,culling,biomass,2023,23 6SG,a_Sep-2024,0.0,2024,9,False,Anglet_P23 6SG2024a_Sep-2024
Anglet_P,culling,biomass,2024,24 1SG,a_Sep-2024,0.0,2024,9,False,Anglet_P24 1SG2024a_Sep-2024
Anglet_P,culling,biomass,2024,24 2SG,a_Sep-2024,0.0,2024,9,False,Anglet_P24 2SG2024a_Sep-2024
Anglet_P,culling,biomass,2024,24 3SG,a_Sep-2024,0.0,2024,9,False,Anglet_P24 3SG2024a_Sep-2024
Anglet_P,culling,biomass,2024,24 4SG,a_Sep-2024,25.83906425557495,2024,9,False,Anglet_P24 4SG2024a_Sep-2024
Anglet_P,culling,biomass,2024,24 5SG,a_Sep-2024,0.0,2024,9,False,Anglet_P24 5SG2024a_Sep-2024
Anglet_P,culling,biomass,2024,24 6SG,a_Sep-2024,0.0,2024,9,False,Anglet_P24 6SG2024a_Sep-2024
Anglet_P,culling,biomass,2025,25 1SG,a_Sep-2024,0.0,2024,9,False,Anglet_P25 1SG2024a_Sep-2024
